"A型血型","胃",NULL
"不规律饮食","胃",NULL
"体力活动不足","代谢",NULL
"其他心脏病","大脑",NULL
"其他肿瘤家族史","胃，肺",NULL
"冠心病家族史","心脏",NULL
"冠心病早发家族史","心脏",NULL
"冠心病负性事件","心脏",NULL
"吸烟","心脏，大脑，代谢，胃，肺","无"
"吸烟支数","肺",NULL
"妊娠糖尿病史","代谢",NULL
"年龄","血压，心脏，大脑，代谢",
"幽门螺杆菌感染","胃",NULL
"心脏病","心脏，代谢",NULL
"性别","血压，心脏，大脑",
"慢性房颤","大脑",NULL
"慢性胃疾病","胃",NULL
"无症状颈动脉狭窄","大脑",NULL
"水果摄入不足","大脑，代谢，胃，肺",NULL
"煤烟及油烟污染","肺",NULL
"生活工作压力","胃",NULL
"粉尘及有害气体职业暴露史","肺",NULL
"糖尿病","心脏，大脑",NULL
"糖尿病家族史","代谢",NULL
"经常大量饮酒","大脑，代谢，胃",NULL
"缺乏体育锻炼","大脑",NULL
"肺癌家族史","肺",NULL
"肺部疾病史","肺",NULL
"胃癌家族史","胃",NULL
"胃负性事件","胃",NULL
"脑卒中家族史","大脑",NULL
"脑卒中早发家族史","大脑",NULL
"蔬菜摄入不足","大脑，代谢，胃，肺",NULL
"血糖异常","代谢",NULL
"血脂异常","血压，心脏，代谢",NULL
"被动吸烟","血压，心脏，大脑，代谢，肺",NULL
"豆类食品摄入不足","胃",NULL
"超重或肥胖","血压，心脏，大脑，代谢",
"高盐饮食","血压，胃",
"高腌制食品摄入","胃",NULL
"高血压","心脏，大脑，代谢",NULL
"高血压家族史","血压",
"高血压早发家族史","血压",
"高血压负性事件","血压",NULL
